category,product_name,price_display,mrp_optional,badge,short_desc,image1,image2,image3,product_slug,status,specifications_content,overview_content
Beds,Alona King Size Bed (King Size),₹32000,₹38000,Bestseller,Elegant solid wood king size bed with modern headboard design,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=1,https://picsum.photos/800/600?random=2,alona-king-size-bed,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 72W x 48H |
| Material | Solid Sheesham Wood |
| Finish | Honey Finish |
| Mattress Size | 72x78 |
| Assembly | Required |
| Weight | 85 kg |
| Storage | No storage space |",Crafted from premium solid Sheesham wood with a beautiful honey finish. Features a contemporary headboard design that adds elegance to any bedroom. Built to last with traditional joinery techniques.
Beds,Melanie Hydraulic Storage Bed (Queen Size),₹28500,₹34000,New,Queen size hydraulic storage bed with spacious under-bed storage,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=3,https://picsum.photos/800/600?random=4,melanie-hydraulic-storage-bed-queen,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 60W x 42H |
| Material | Engineered Wood |
| Finish | Dark Walnut |
| Mattress Size | 60x78 |
| Storage | Hydraulic lift storage |
| Weight | 68 kg |
| Assembly | Required |",Modern hydraulic storage bed perfect for maximizing bedroom space. Features easy-lift mechanism and spacious storage compartment underneath. Contemporary design with dark walnut finish.
Beds,Cassie Upholstered Bed (King Size),₹42000,₹48000,Premium,Luxurious upholstered king bed with tufted headboard,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=5,https://picsum.photos/800/600?random=6,cassie-upholstered-bed-king,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 72W x 52H |
| Material | Solid Wood Frame + Premium Fabric |
| Finish | Grey Upholstery |
| Mattress Size | 72x78 |
| Assembly | Required |
| Weight | 78 kg |",Elegant upholstered bed with diamond-tufted headboard. Premium fabric upholstery with solid wood frame. Perfect blend of comfort and luxury for master bedrooms.
Beds,Boho Platform Bed (Double),₹24000,₹29000,,Minimalist double bed with low profile platform design,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=7,https://picsum.photos/800/600?random=8,boho-platform-bed-double,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 75L x 54W x 30H |
| Material | Solid Mango Wood |
| Finish | Natural Finish |
| Mattress Size | 54x75 |
| Assembly | Minimal |
| Weight | 45 kg |
| Style | Platform Bed |",Contemporary platform bed with clean lines and low profile. Made from sustainable mango wood with natural finish. Perfect for modern minimalist bedrooms.
Beds,Winston Poster Bed (King Size),₹38000,₹45000,Classic,Traditional four-poster king bed with ornate detailing,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=9,https://picsum.photos/800/600?random=10,winston-poster-bed-king,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 72W x 84H |
| Material | Solid Teak Wood |
| Finish | Provincial Teak |
| Mattress Size | 72x78 |
| Assembly | Required |
| Weight | 95 kg |
| Style | Four Poster |",Majestic four-poster bed crafted from solid teak wood. Features traditional carved details and Provincial teak finish. Statement piece for luxury bedrooms.
Beds,Ara Single Bed with Trundle,₹18500,₹22000,,Space-saving single bed with pull-out trundle for guests,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=11,https://picsum.photos/800/600?random=12,ara-single-bed-trundle,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 75L x 36W x 36H |
| Material | Solid Pine Wood |
| Finish | White Finish |
| Mattress Size | 36x75 |
| Trundle | Pull-out trundle included |
| Weight | 52 kg |",Perfect space-saving solution for kids' rooms or guest bedrooms. Features convenient pull-out trundle for extra sleeping space when needed.
Beds,Margot Cane Bed (Queen Size),₹31000,₹37000,Trending,Elegant queen bed with natural cane headboard design,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=13,https://picsum.photos/800/600?random=14,margot-cane-bed-queen,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 60W x 46H |
| Material | Solid Wood + Natural Cane |
| Finish | Natural Wood + Cane |
| Mattress Size | 60x78 |
| Assembly | Required |
| Weight | 58 kg |",Bohemian-inspired bed featuring beautiful natural cane headboard. Combines solid wood construction with traditional cane weaving techniques.
Beds,Nordic Low Height Bed (King Size),₹29000,₹35000,,Scandinavian-inspired king bed with clean minimalist design,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=15,https://picsum.photos/800/600?random=16,nordic-low-height-bed-king,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 72W x 24H |
| Material | Solid Oak Wood |
| Finish | Light Oak |
| Mattress Size | 72x78 |
| Assembly | Required |
| Weight | 62 kg |
| Style | Low Profile |",Minimalist Scandinavian design with low profile. Crafted from solid oak wood with light oak finish. Perfect for contemporary and modern bedroom aesthetics.
Beds,Ryker Metal Bed (Double),₹16500,₹19500,,Industrial style double bed with sturdy metal frame,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=17,https://picsum.photos/800/600?random=18,ryker-metal-bed-double,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 75L x 54W x 48H |
| Material | Powder-coated Metal |
| Finish | Matte Black |
| Mattress Size | 54x75 |
| Assembly | Required |
| Weight | 38 kg |
| Style | Industrial |",Industrial-style metal bed frame with powder-coated finish. Sturdy construction with clean lines perfect for loft-style or modern industrial bedrooms.
Beds,Valencia Storage Bed with Drawers (Queen),₹33500,₹39000,Popular,Queen bed with four convenient under-bed storage drawers,/beds-lifestyle-scene.png,https://picsum.photos/800/600?random=19,https://picsum.photos/800/600?random=20,valencia-storage-bed-drawers-queen,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 60W x 44H |
| Material | Engineered Wood |
| Finish | Mahogany Finish |
| Mattress Size | 60x78 |
| Storage | 4 Under-bed drawers |
| Weight | 74 kg |",Practical queen bed with four spacious under-bed drawers. Perfect for organizing bedroom essentials while maintaining elegant design with rich mahogany finish.
Sofas,Bergen 3 Seater Fabric Sofa,₹45000,₹52000,Bestseller,Comfortable 3-seater fabric sofa with plush cushioning perfect for living rooms,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=21,https://picsum.photos/800/600?random=22,bergen-3-seater-fabric-sofa,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 84L x 36W x 32H |
| Material | Solid Wood Frame + Premium Fabric |
| Seating | 3 Seater |
| Cushions | High-density foam |
| Finish | Walnut finish legs |
| Weight | 65 kg |
| Assembly | Required |",Premium 3-seater fabric sofa with solid wood frame and high-density foam cushioning. Features elegant walnut finish wooden legs and durable premium fabric upholstery.
Sofas,Castlery L-Shape Corner Sofa,₹58000,₹68000,Premium,Spacious L-shaped sectional sofa with premium fabric upholstery,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=23,https://picsum.photos/800/600?random=24,castlery-l-shape-corner-sofa,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 102L x 66W x 32H |
| Material | Solid Wood Frame + Premium Fabric |
| Configuration | L-Shape |
| Seating | 5-6 Person |
| Cushions | Memory foam |
| Weight | 95 kg |",Large L-shaped sectional sofa perfect for family gatherings. Features memory foam cushions and premium fabric upholstery with solid wood construction.
Sofas,Luna Fabric Sofa Cum Bed,₹38000,₹44000,Functional,Multi-functional sofa that converts into a comfortable bed,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=25,https://picsum.photos/800/600?random=26,luna-fabric-sofa-cum-bed,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 36W x 32H |
| Material | Solid Wood Frame + Fabric |
| Functionality | Sofa cum bed |
| Mattress Size | 72x48 when extended |
| Mechanism | Pull-out bed |
| Weight | 58 kg |",Versatile sofa cum bed perfect for small spaces or guest rooms. Easy conversion mechanism transforms from comfortable sofa to full-size bed.
Sofas,Adele 2 Seater Fabric Loveseat,₹28000,₹33000,,Compact 2-seater fabric sofa perfect for cozy spaces,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=27,https://picsum.photos/800/600?random=28,adele-2-seater-fabric-loveseat,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 58L x 32W x 30H |
| Material | Solid Wood Frame + Cotton Blend Fabric |
| Seating | 2 Seater |
| Cushions | Polyurethane foam |
| Finish | Natural wood legs |
| Weight | 38 kg |",Charming 2-seater loveseat with cotton blend fabric upholstery. Perfect for small living rooms or reading nooks with natural wood legs.
Sofas,Infinity Recliner Fabric Sofa,₹52000,₹61000,Comfort,Luxury reclining sofa with premium fabric and adjustable positions,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=29,https://picsum.photos/800/600?random=30,infinity-recliner-fabric-sofa,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 82L x 38W x 40H |
| Material | Genuine Leather + Fabric Combination |
| Seating | 3 Seater with recline |
| Mechanism | Electric reclining |
| Features | USB charging ports |
| Weight | 78 kg |",Premium reclining sofa with electric adjustment mechanism. Features USB charging ports and combination leather-fabric upholstery for ultimate comfort.
Sofas,Moroccan Style Fabric Chesterfield,₹48000,₹56000,Classic,Traditional Chesterfield sofa with button tufting and fabric upholstery,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=31,https://picsum.photos/800/600?random=32,moroccan-fabric-chesterfield,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 84L x 36W x 32H |
| Material | Hardwood Frame + Premium Velvet Fabric |
| Style | Chesterfield |
| Features | Button tufting rolled arms |
| Cushions | Down-filled |
| Weight | 72 kg |",Classic Chesterfield design with premium velvet fabric upholstery. Features traditional button tufting and rolled arms with down-filled cushions.
Sofas,Brooklyn Modular Fabric Sectional,₹64000,₹75000,New,Modular sectional sofa system with customizable configuration,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=33,https://picsum.photos/800/600?random=34,brooklyn-modular-fabric-sectional,Active,"| Specification | Value |
| --- | --- |
| Dimensions | Modular (various configurations) |
| Material | Solid Wood Frame + Performance Fabric |
| Configuration | Customizable |
| Modules | 6 pieces included |
| Cushions | High-resilience foam |
| Weight | 110 kg |",Flexible modular sectional sofa system. Create custom configurations to fit your space perfectly with high-performance fabric and solid wood construction.
Sofas,Zen Japanese Style Floor Sofa,₹24000,₹28000,Minimalist,Low-profile Japanese-inspired floor sofa with organic cotton fabric,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=35,https://picsum.photos/800/600?random=36,zen-japanese-floor-sofa,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 72L x 36W x 16H |
| Material | Solid Wood Frame + Organic Cotton |
| Style | Japanese Floor Seating |
| Cushions | Natural latex |
| Finish | Natural wood |
| Weight | 32 kg |",Minimalist Japanese-inspired floor sofa with organic cotton upholstery. Features natural latex cushioning and low-profile design for zen-like comfort.
Sofas,Retro Mid-Century Fabric Sofa,₹41000,₹48000,Vintage,Mid-century modern design sofa with tapered wooden legs,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=37,https://picsum.photos/800/600?random=38,retro-mid-century-fabric-sofa,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 78L x 32W x 30H |
| Material | Solid Wood Frame + Linen Blend Fabric |
| Style | Mid-Century Modern |
| Features | Tapered legs button tufting |
| Cushions | Pocket spring |
| Weight | 54 kg |",Authentic mid-century modern design with linen blend fabric. Features characteristic tapered wooden legs and button-tufted cushions with pocket spring construction.
Sofas,Comfort Plus Bean Bag Sofa,₹12000,₹15000,Casual,Large bean bag sofa perfect for casual seating and relaxation,/sofas-lifestyle-scene.png,https://picsum.photos/800/600?random=39,https://picsum.photos/800/600?random=40,comfort-plus-bean-bag-sofa,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 48L x 48W x 32H |
| Material | Premium Fabric Cover + EPS Beans |
| Style | Bean Bag |
| Filling | Virgin EPS beans |
| Cover | Removable and washable |
| Weight | 8 kg |",Ultra-comfortable bean bag sofa filled with premium EPS beans. Features removable and washable fabric cover perfect for casual seating in any room.
Dining,Royal Dining Table Set (6 Seater),₹54000,₹62000,Premium,Elegant 6-seater wooden dining set with upholstered chairs,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=41,https://picsum.photos/800/600?random=42,royal-dining-table-set-6-seater,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 72L x 36W x 30H |
| Material | Solid Sheesham Wood |
| Finish | Honey Finish |
| Chairs | 6 upholstered chairs included |
| Chair Material | Solid wood with fabric seats |
| Assembly | Required |
| Weight | 95 kg |",Premium 6-seater dining set crafted from solid Sheesham wood. Features elegant honey finish table with matching upholstered chairs for comfortable dining experience.
Dining,Compact 4 Seater Dining Set,₹32000,₹38000,Bestseller,Space-saving 4-seater dining table set perfect for apartments,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=43,https://picsum.photos/800/600?random=44,compact-4-seater-dining-set,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 48L x 30W x 30H |
| Material | Solid Mango Wood |
| Finish | Natural Wood Finish |
| Chairs | 4 matching wooden chairs |
| Style | Compact design |
| Assembly | Required |
| Weight | 62 kg |",Perfect 4-seater dining set for small spaces. Solid mango wood construction with natural finish. Compact yet comfortable design ideal for apartments.
Dining,Extendable 8 Seater Dining Table,₹72000,₹85000,Functional,Large extendable dining table that seats 6-8 people comfortably,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=45,https://picsum.photos/800/600?random=46,extendable-8-seater-dining-table,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 72-96L x 42W x 30H |
| Material | Solid Oak Wood |
| Finish | Dark Oak |
| Extension | 24 inch leaf extension |
| Mechanism | Smooth sliding extension |
| Assembly | Required |
| Weight | 85 kg |",Versatile extendable dining table in solid oak wood. Extends from 6 to 8 seater capacity with smooth sliding mechanism. Perfect for hosting large gatherings.
Dining,Rustic Farmhouse Dining Set (6 Seater),₹48000,₹56000,Trending,Rustic farmhouse style dining set with bench seating option,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=47,https://picsum.photos/800/600?random=48,rustic-farmhouse-dining-set-6,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 72L x 36W x 30H |
| Material | Reclaimed Wood |
| Finish | Distressed Natural |
| Seating | 4 chairs + 1 bench |
| Style | Farmhouse |
| Assembly | Required |
| Weight | 88 kg |",Authentic farmhouse dining set made from reclaimed wood. Features distressed natural finish with combination of chairs and bench seating for rustic charm.
Dining,Glass Top Modern Dining Set (4 Seater),₹38000,₹45000,,Contemporary 4-seater dining set with tempered glass top,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=49,https://picsum.photos/800/600?random=50,glass-top-modern-dining-set-4,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 54L x 32W x 30H |
| Material | Solid Wood Base + Tempered Glass Top |
| Finish | Walnut wood base |
| Glass | 10mm tempered glass |
| Chairs | 4 upholstered chairs |
| Weight | 58 kg |",Modern dining set featuring tempered glass top with solid wood base. Clean contemporary design with comfortable upholstered chairs in neutral tones.
Dining,Marble Top Luxury Dining Set (8 Seater),₹95000,₹110000,Luxury,Premium 8-seater dining set with genuine marble top,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=51,https://picsum.photos/800/600?random=52,marble-top-luxury-dining-set-8,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 96L x 42W x 30H |
| Material | Solid Wood Base + Genuine Marble Top |
| Marble | Italian Carrara marble |
| Finish | Rich mahogany base |
| Chairs | 8 luxury upholstered chairs |
| Weight | 145 kg |",Luxurious 8-seater dining set with genuine Italian Carrara marble top. Rich mahogany wood base with premium upholstered chairs for elegant dining experience.
Dining,Folding Space Saver Dining Set (2 Seater),₹18000,₹22000,Space Saver,Compact folding dining set perfect for studio apartments,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=53,https://picsum.photos/800/600?random=54,folding-space-saver-dining-2,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 36L x 24W x 30H (when extended) |
| Material | Engineered Wood |
| Finish | Light Wood Laminate |
| Features | Foldable table and chairs |
| Storage | Chairs tuck under table |
| Weight | 28 kg |",Ultimate space-saving dining solution. Foldable table with chairs that tuck underneath. Perfect for studio apartments or small kitchens where space is premium.
Dining,Industrial Pipe Dining Set (6 Seater),₹42000,₹49000,Industrial,Industrial style dining set with metal pipe legs and wood top,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=55,https://picsum.photos/800/600?random=56,industrial-pipe-dining-set-6,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 72L x 36W x 30H |
| Material | Solid Wood Top + Metal Pipe Frame |
| Finish | Dark wood with black metal |
| Style | Industrial |
| Chairs | 6 metal and wood chairs |
| Weight | 75 kg |",Bold industrial design with solid wood top and metal pipe framework. Black metal and dark wood combination creates striking contemporary dining space.
Dining,Round Pedestal Dining Set (4 Seater),₹35000,₹41000,Classic,Classic round pedestal dining table with 4 matching chairs,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=57,https://picsum.photos/800/600?random=58,round-pedestal-dining-set-4,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 48 inch Diameter x 30H |
| Material | Solid Wood |
| Finish | Cherry Wood Finish |
| Base | Single pedestal base |
| Chairs | 4 Windsor style chairs |
| Assembly | Required |
| Weight | 68 kg |",Elegant round dining table with classic pedestal base. Cherry wood finish with matching Windsor style chairs. Perfect for intimate dining and conversation.
Dining,Live Edge Dining Table Set (6 Seater),₹68000,₹78000,Artisan,Unique live edge dining table showcasing natural wood grain,/dining-lifestyle-scene.png,https://picsum.photos/800/600?random=59,https://picsum.photos/800/600?random=60,live-edge-dining-table-set-6,Active,"| Specification | Value |
| --- | --- |
| Table Dimensions | 84L x 38W x 30H |
| Material | Solid Acacia Wood Slab |
| Finish | Natural Oil Finish |
| Features | Live edge design metal hairpin legs |
| Chairs | 6 modern dining chairs |
| Weight | 92 kg |",Stunning live edge dining table showcasing natural wood grain. Each piece is unique with natural edge preserved. Modern metal hairpin legs complement organic design.
Storage,Modular TV Unit with Storage,₹34000,₹40000,Popular,Multi-functional TV unit with ample storage compartments,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=61,https://picsum.photos/800/600?random=62,modular-tv-unit-storage,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 72L x 18W x 24H |
| Material | Engineered Wood |
| Finish | Dark Walnut |
| Storage | 4 compartments + 2 drawers |
| TV Support | Up to 65 inch TV |
| Assembly | Required |
| Weight | 48 kg |",Modern TV unit with multiple storage compartments for media devices and accessories. Dark walnut finish with clean lines perfect for contemporary living rooms.
Storage,4-Door Wardrobe with Mirror,₹58000,₹68000,Bestseller,Spacious 4-door wardrobe with full-length mirror and internal organizers,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=63,https://picsum.photos/800/600?random=64,4-door-wardrobe-mirror,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 80L x 24W x 84H |
| Material | Solid Wood |
| Finish | Natural Teak |
| Features | Full-length mirror hanging rods shelves |
| Doors | 4 doors with soft-close hinges |
| Weight | 125 kg |",Premium 4-door wardrobe with full-length mirror. Features multiple hanging spaces shelves and internal organizers for complete bedroom storage solution.
Storage,Floating Wall Shelves Set,₹12500,₹15000,Modern,Set of 5 floating shelves for modern wall storage and display,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=65,https://picsum.photos/800/600?random=66,floating-wall-shelves-set,Active,"| Specification | Value |
| --- | --- |
| Dimensions | Various sizes (12 to 36 inch lengths) |
| Material | Solid Wood |
| Finish | White Oak |
| Mounting | Hidden bracket system |
| Weight Capacity | 15 kg per shelf |
| Set | 5 shelves included |",Modern floating shelf system with hidden mounting brackets. Set includes 5 shelves of varying sizes perfect for books decor and storage in any room.
Storage,Shoe Rack Cabinet (30 Pairs),₹22000,₹26000,Organized,Large shoe storage cabinet accommodating up to 30 pairs,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=67,https://picsum.photos/800/600?random=68,shoe-rack-cabinet-30-pairs,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 48L x 16W x 72H |
| Material | Engineered Wood |
| Finish | Mahogany Laminate |
| Capacity | 30 pairs of shoes |
| Features | Ventilation holes adjustable shelves |
| Assembly | Required |
| Weight | 45 kg |",Spacious shoe storage cabinet with ventilation for freshness. Accommodates up to 30 pairs with adjustable shelves for different shoe heights.
Storage,Kitchen Storage Pantry Cabinet,₹38000,₹44000,Essential,Tall pantry cabinet with multiple shelves for kitchen organization,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=69,https://picsum.photos/800/600?random=70,kitchen-storage-pantry-cabinet,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 36L x 18W x 84H |
| Material | Solid Wood |
| Finish | White Paint |
| Features | 6 adjustable shelves soft-close doors |
| Storage | Pantry items appliances |
| Assembly | Required |
| Weight | 68 kg |",Essential kitchen pantry cabinet with 6 adjustable shelves. White painted finish with soft-close doors perfect for storing pantry items and small appliances.
Storage,Multi-Purpose Storage Ottoman,₹8500,₹10500,Versatile,Upholstered storage ottoman that doubles as extra seating,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=71,https://picsum.photos/800/600?random=72,multi-purpose-storage-ottoman,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 36L x 18W x 18H |
| Material | Solid Wood Frame + Fabric |
| Finish | Grey Upholstery |
| Storage | Hidden compartment |
| Weight Capacity | 150 kg |
| Features | Lid with soft-close hinges |",Versatile storage ottoman with hidden compartment. Doubles as extra seating or coffee table while providing concealed storage for blankets toys or accessories.
Storage,Bookshelf Room Divider (5 Tier),₹28000,₹33000,Functional,Open bookshelf unit that works as room divider and storage,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=73,https://picsum.photos/800/600?random=74,bookshelf-room-divider-5-tier,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 72L x 12W x 72H |
| Material | Solid Wood |
| Finish | Natural Wood |
| Tiers | 5 shelves |
| Function | Room divider + storage |
| Assembly | Required |
| Weight | 58 kg |",Multi-functional 5-tier bookshelf that serves as room divider. Perfect for open floor plans while providing ample storage for books decor and personal items.
Storage,Under-Bed Storage Boxes Set,₹15000,₹18000,Space Saver,Set of 4 rolling storage boxes designed to fit under beds,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=75,https://picsum.photos/800/600?random=76,under-bed-storage-boxes-set,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 30L x 20W x 6H each |
| Material | Engineered Wood |
| Finish | Natural Laminate |
| Features | Rolling casters lid with handles |
| Set | 4 storage boxes |
| Assembly | Minimal |
| Weight | 24 kg |",Space-saving under-bed storage solution. Set of 4 rolling boxes with handles perfect for storing seasonal clothes linens or items not frequently used.
Storage,Corner Display Cabinet,₹32000,₹37000,Elegant,Corner-mounted display cabinet with glass shelves and LED lighting,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=77,https://picsum.photos/800/600?random=78,corner-display-cabinet,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 24L x 24W x 72H |
| Material | Solid Wood + Tempered Glass |
| Finish | Cherry Wood |
| Features | 4 glass shelves LED lighting |
| Doors | Glass doors with locks |
| Weight | 45 kg |",Elegant corner display cabinet perfect for showcasing collectibles or fine china. Features glass shelves with LED lighting and lockable glass doors.
Storage,Chest of Drawers (6 Drawer),₹42000,₹49000,Classic,Traditional 6-drawer chest perfect for bedroom storage,/storage-lifestyle-scene.png,https://picsum.photos/800/600?random=79,https://picsum.photos/800/600?random=80,chest-of-drawers-6-drawer,Active,"| Specification | Value |
| --- | --- |
| Dimensions | 36L x 18W x 54H |
| Material | Solid Oak Wood |
| Finish | Traditional Oak Stain |
| Drawers | 6 spacious drawers with dovetail joints |
| Features | Soft-close drawer slides |
| Assembly | Required |
| Weight | 78 kg |",Classic 6-drawer chest crafted from solid oak wood. Features dovetail joints and soft-close drawer slides. Perfect for organizing clothing and bedroom essentials.